Name,Location,Region,Price,Fine,Introduction,jpg
Taipei 101,Taipei,North,1200,600,"Introduction: Taipei 101 (Chinese: 台北101; pinyin: Táiběi 101; stylized in all caps),formerly known as the Taipei World Financial Center, is a skyscraper in Taipei, Taiwan. It is owned by Taipei Financial Center Corporation. The building was officially classified as the world's tallest from its opening on 31 December 2004 (in time to celebrate New Year's Eve). However, the Burj Khalifa surpassed Taipei 101 in 2010. Upon completion, it became the world's first skyscraper to exceed a height of half a kilometer (about 0.3 miles). As of 2023, Taipei 101 is the tallest building in Taiwan and the eleventh tallest building in the world.",pictures/tpe101.jpg
Chiang Kai-shek Momorial Hall,Taipei,North,800,400,"Introduction: The Chiang Kai-shek Memorial Hall (Chinese: 中正紀念堂; Pe̍h-ōe-jī: Kok-li̍p Tiong-chèng-kí-liām-tn̂g) is a national monument and tourist attraction erected in memory of Chiang Kai-shek, former President of the Republic of China. It is located in Taipei, Taiwan (ROC).",pictures/cksmh.jpg
National Taiwan University,Taipei,North,1000,500,"Introduction: National Taiwan University (NTU; Chinese: 國立臺灣大學; Pe̍h-ōe-jī: Kok-li̍p Tâi-oân Tāi-ha̍k) is a national comprehensive public research university in Taipei, Taiwan.It has been regarded as the most prestigious university in Taiwan.",pictures/ntu.jpg
Yeh-liu,New Taipei,North,600,300,"Introduction: Yehliu (Chinese: 野柳; pinyin: Yěliǔ) is a cape in Wanli District, New Taipei, Taiwan.The cape, known by geologists as the Yehliu Promontory, forms part of the Daliao Miocene Formation. It stretches approximately 1,700 metres (5,600 ft) into the ocean and was formed as geological forces pushed the Datun Mountains out of the sea. A distinctive feature of the cape is the hoodoo stones that dot its surface. These shapes can be viewed at the Yehliu Geopark operated by the North Coast and Guanyinshan National Scenic Area administration. A number of rock formations have been given imaginative names based on their shapes. The best known is the ""Queen's Head"" (女王頭), an iconic image in Taiwan and an unofficial emblem for the town of Wanli. Other formations include the ""Fairy Shoe"", the ""Beehive"", the ""Ginger Rocks"", and the ""Sea Candles"".",pictures/Yeh-liu.jpg
Xpark,Taoyuan,North,800,400,"Introduction: The Xpark is a public aquarium located on the first three floors of Landmark Plaza in Taoyuan, Taiwan.",pictures/xpark.jpg
National Palace Museum,Taipei,North,900,450,"Introduction: The National Palace Museum(Chinese: 國立故宮博物院; pinyin: Guólì Gùgōng Bówùyuàn) is a museum in Taipei, Taiwan. It has a permanent collection of nearly 700,000 pieces of Chinese artifacts and artworks, the majority of which were moved from the Palace Museum in the Forbidden City as well as five other institutions in mainland China during the ROC retreat. These collections had been transferred to several locations before finally being established in 1965 at its present location in Shilin, Taipei. The museum building itself was built between March 1964 and August 1965, with many subsequent expansions making it one of the largest of its type in the world, including a southern branch located in Taibao, Chiayi.",pictures/NPM.jpeg
Chaotian Temple,Yunlin,Central,600,300,"Introduction: The Chaotian or Chaotien Temple, officially the Chao-Tian Temple, is a temple to the goddess Mazu in Beigang Township, Yunlin County, Taiwan. Constructed in 1700, it became one of the most important Mazu temples in Taiwan and is known for its extravagant temple architecture. It is visited by more than a million pilgrims every year.",pictures/Chaotian.JPG
Sun Moon Lake,Nantou,Central,700,350,"Introduction: Sun Moon Lake (Chinese: 日月潭; pinyin: Rìyuè tán; Pe̍h-ōe-jī: Ji̍t-goa̍t-thâm; Thao: Zintun) is a lake in Yuchi Township, Nantou County, Taiwan. It is the largest body of water in Taiwan. The area around the lake is home to the Thao tribe, one of Taiwan's aboriginal tribes. Sun Moon Lake surrounds a tiny island called Lalu. The east side of the lake resembles a sun while the west side resembles a moon, hence the name.",pictures/sml.jpg
National Museum of Natrual Science,Taichung,Central,1100,550,"Introduction: The museum covers 22 acres (89,000 square meter) and is a six-venue complex housing: the Space Theater, Science Center, Life Science Hall, Human Cultures Hall, Global Environment Hall, and Botanical Garden.",pictures/NMNS.jpg
Yu-shan National Park,Nantou,Central,800,400,"Introduction: Yushan National Park (Chinese: 玉山國家公園; pinyin: Yù Shān Gúojiā Gōngyuán) is one of the nine national parks in Taiwan and was named after the summit Yushan, the highest peak of the park. The park covers a total area of 103,121 hectares that includes large sections of the Central Mountain Range. The park contains more than thirty peaks over 3,000 metres (9,843 ft) in elevation, and two-thirds of the area within the park is above 2,000 metres (6,562 ft). The elevation difference in the park is 3,600 metres (11,811 ft), and there are many canyons, cliffs, and valleys.",pictures/Yushan.jpg
WuLing Farm,Taichung,Central,700,350,"Introduction: The farm was established in 1963 to provide employment for retired servicemen. At the beginning of the reclamation phase, the first director of the farm led veterans in opening up land to cultivate summer highland vegetables and temperate fruit trees. He then accepted the counsel of the Agricultural Revival Development Committee in setting the farm's management policy. In 1967, the land started to be developed by reforming land, planting fruit trees and setting up the vegetable planning. The farming area was also expanded and mechanical operation methods to effectively boost the efficiency and save on manpower were also developed. In 1986, the first phase of transformation was completed. Since 1989, the farm started to gradually develop facilities, such as camping grounds, garden, tea houses, hostels and tourist service center. After completion, the farm worked together with the Veterans Farm Committee in obtaining subsidies from the Tourism Bureau in order to expand its facilities over the coming few years. Since 1999, the farm started to implement its second phase of transformation, starting from the construction of its second hostel and outsourced its management team. It expanded and renovated its facilities on its garden, park, camping grounds, tea, electrical system and botanical garden.",pictures/wuling.jpg
Fengjia Night Market,Taichung,Central,800,400,"Introduction: Fengjia Night Market or Feng Chia Night Market (Chinese: 逢甲夜市; pinyin: Féngjiǎ Yè Shì), also called Fengjia Shopping Town, is a night market in Xitun District, Taichung, Taiwan. The market is located next to Feng Chia University. It was claimed to be the largest night market in Taiwan.",pictures/fengjia.jpg
